CSV-Datei erstellt am: 14.09.2025 17:11:39
WAHLDATUM;WAHLART;GEBIET;EBENE;NR;BEZEICHNUNG;A;A1;A2;A3;B;B1;B2;C;D;D1;D2;D3;D4;D5
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;306.3;Städt. Kindertageseinrichtung Ulrich-von-Hutten-Straße;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;306.9;Briefwahl Eick-Ost;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;307.1;Regenbogenschule Meerfeld, Eingangshalle;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;307.2;AWO Kindertagesstätte, Raum 1;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;307.3;EDEKA Rhein-Ruhr Verwaltung, Foyer;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;307.9;Briefwahl Utfort;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;308.1;Städtische Kindertageseinrichtung Barbarastraße;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;308.2;Vivawest Kundencenter;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;308.3;Stadtteilbüro Meerbeck;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;308.9;Briefwahl Meerbeck;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;309.1;Sparkasse Meerbeck;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;309.2;Eichendorffschule, Aula;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;309.3;Wohnungsbau Stadt Moers, Kundencenter;;;;;;;;;;;;;;
14.09.2025;Landratswahl;Stadt Moers;Stimmbezirk;309.9;Briefwahl Meerbeck-Ost;;;;;;;;;;;;;;
